,label,intensity,symmetry
0,0,145.44,70.25
1,0,118.58,66.11
2,0,127.6,77.43
3,0,138.05,76.5
4,0,146.22,64.91
5,0,128.07,76.08
6,0,136.98,91.47
7,0,131.24,66.11
8,0,142.95,74.91
9,0,129.1,64.69
10,0,128.87,76.03
11,0,130.61,71.79
12,0,129.39,59.48
13,0,137.52,80.32
14,0,157.8,60.27
15,0,126.29,57.81
16,0,131.42,53.29
17,0,140.28,78.49
18,0,148.42,83.96
19,0,137.0,88.2
20,0,140.16,58.8
21,0,154.25,69.98
22,0,126.57,64.95
23,0,129.64,93.27
24,0,132.58,56.73
25,0,127.16,75.36
26,0,151.5,68.49
27,0,135.7,69.99
28,0,145.42,84.86
29,0,134.8,87.92
30,0,147.81,60.22
31,0,136.42,66.62
32,0,154.39,85.47
33,0,135.68,48.78
34,0,136.73,44.4
35,0,157.16,68.12
36,0,129.92,64.21
37,0,141.82,76.85
38,0,147.67,74.17
39,0,125.41,65.11
40,0,142.38,72.45
41,0,155.45,68.07
42,0,144.83,69.88
43,0,134.55,55.51
44,0,136.45,68.93
45,0,132.77,81.23
46,0,151.51,58.83
47,0,139.07,62.64
48,0,123.55,68.0
49,0,123.52,43.39
50,0,120.44,72.21
51,0,150.04,51.87
52,0,123.32,69.21
53,0,143.07,64.25
54,0,133.39,58.27
55,0,118.91,74.11
56,0,141.2,62.27
57,0,146.73,72.44
58,0,142.38,74.73
59,0,116.39,63.95
60,0,122.24,74.16
61,0,151.92,59.5
62,0,142.05,71.41
63,0,129.1,77.84
64,0,122.85,62.18
65,0,154.11,77.6
66,0,127.89,54.24
67,0,145.54,65.3
68,0,131.93,72.01
69,0,133.18,73.58
70,0,138.37,61.23
71,0,123.71,71.87
72,0,128.37,78.54
73,0,141.24,58.49
74,0,134.16,63.56
75,0,141.57,56.49
76,0,133.3,71.25
77,0,142.23,57.47
78,0,153.63,71.21
79,0,133.77,54.5
80,0,123.87,68.67
81,0,139.81,64.24
82,0,129.75,67.76
83,0,125.87,78.49
84,0,150.4,70.25
85,0,152.46,75.53
86,0,123.43,58.29
87,0,130.94,75.92
88,0,115.32,71.06
89,0,143.68,47.09
90,0,124.24,71.0
91,0,129.19,67.05
92,0,114.33,73.08
93,0,124.26,75.65
94,0,115.9,68.64
95,0,136.45,64.14
96,0,138.25,61.45
97,0,152.58,67.85
98,0,121.55,69.16
99,0,118.08,76.88
100,0,121.35,59.17
101,0,128.42,98.41
102,0,137.62,76.88
103,0,118.29,51.26
104,0,127.2,66.81
105,0,123.92,66.74
106,0,153.05,64.23
107,0,138.46,83.92
108,0,128.62,49.51
109,0,130.37,78.3
110,0,129.7,72.65
111,0,119.6,63.41
112,0,157.29,70.24
113,0,145.67,80.15
114,0,128.22,65.89
115,0,140.24,102.69
116,0,132.18,65.56
117,0,140.8,73.34
118,0,156.62,80.32
119,0,121.18,71.83
120,0,120.43,66.9
121,0,155.8,72.98
122,0,134.86,84.54
123,0,140.1,66.1
124,0,121.94,74.47
125,0,150.58,58.64
126,0,133.38,66.24
127,0,156.13,77.21
128,0,140.97,63.94
129,0,120.81,64.37
130,0,118.05,68.5
131,0,145.01,64.77
132,0,134.07,79.92
133,0,157.07,50.62
134,0,118.07,77.55
135,0,151.58,85.6
136,0,141.22,75.31
137,0,128.36,69.12
138,0,122.04,66.4
139,0,112.88,74.7
140,0,144.91,64.03
141,0,128.32,79.2
142,0,138.22,72.21
143,0,142.37,78.13
144,0,122.27,62.12
145,0,118.69,69.77
146,0,136.27,65.38
147,0,120.58,70.54
148,0,124.72,50.51
149,0,138.3,73.24
150,0,148.33,95.13
151,0,124.49,56.64
152,0,130.06,69.81
153,0,148.81,73.52
154,0,121.41,69.47
155,0,151.42,66.78
156,0,158.19,85.5
157,0,138.42,54.61
158,0,143.94,60.68
159,0,131.28,64.59
160,0,138.98,70.51
161,0,118.74,57.07
162,0,150.45,73.97
163,0,142.6,52.76
164,0,142.25,56.31
165,0,142.93,71.91
166,0,120.62,61.65
167,0,154.83,74.32
168,0,150.91,59.31
169,0,114.95,74.91
170,0,130.3,73.95
171,0,151.16,51.33
172,0,119.26,58.83
173,0,131.33,69.94
174,0,140.98,44.95
175,0,145.06,76.51
176,0,118.1,73.89
